epoch,accuracy,loss,top2_accuracy,val_accuracy,val_loss,val_top2_accuracy
0,0.8674826622009277,0.5235958099365234,0.9369236826896667,0.9836190342903137,0.23488104343414307,0.9954285621643066
1,0.9814769625663757,0.24726586043834686,0.9953488111495972,0.9897142648696899,0.21720454096794128,0.9969523549079895
2,0.989555299282074,0.2303312122821808,0.9980416297912598,0.9908571243286133,0.20809336006641388,0.9977142810821533
3,0.9924112558364868,0.2204698622226715,0.9981232285499573,0.9942857027053833,0.20216406881809235,0.9980952143669128
4,0.9912688732147217,0.21715335547924042,0.9985312223434448,0.9958094954490662,0.20093727111816406,0.9980952143669128
5,0.9927376508712769,0.21091924607753754,0.9993472099304199,0.9954285621643066,0.19714711606502533,0.9980952143669128
6,0.9954304099082947,0.2047753483057022,0.9991840124130249,0.99657142162323,0.19294804334640503,0.9980952143669128
7,0.9955120086669922,0.20108680427074432,0.9994288086891174,0.9961904883384705,0.19136835634708405,0.9984762072563171
8,0.9968992471694946,0.19843944907188416,0.99967360496521,0.9958094954490662,0.19198960065841675,0.9984762072563171
9,0.9968992471694946,0.19557131826877594,0.9997552037239075,0.9969523549079895,0.1865844577550888,0.9984762072563171
10,0.9985312223434448,0.19170187413692474,0.9999184012413025,0.99657142162323,0.18285542726516724,0.9984762072563171
11,0.9977152347564697,0.19211207330226898,0.999836802482605,0.99657142162323,0.17852622270584106,0.9992380738258362
12,0.9977968335151672,0.1899324357509613,0.9999184012413025,0.9969523549079895,0.18004843592643738,0.9992380738258362
13,0.9984496235847473,0.18733645975589752,1.0,0.9973333477973938,0.17580309510231018,0.9992380738258362
14,0.9985312223434448,0.1863183081150055,0.9997552037239075,0.99657142162323,0.17744112014770508,0.9988571405410767
15,0.9982048273086548,0.18607211112976074,0.999836802482605,0.99657142162323,0.17885318398475647,0.9992380738258362
16,0.9993472099304199,0.18289218842983246,1.0,0.99657142162323,0.17599502205848694,0.9992380738258362
17,0.9992656111717224,0.18184320628643036,1.0,0.9969523549079895,0.17411793768405914,0.9988571405410767
18,0.9991024136543274,0.1818094551563263,1.0,0.99657142162323,0.17368252575397491,0.9992380738258362
19,0.9989392161369324,0.18070781230926514,0.999836802482605,0.9969523549079895,0.17158688604831696,0.9996190667152405
20,0.9997552037239075,0.18029983341693878,1.0,0.99657142162323,0.17412644624710083,0.9992380738258362
21,0.9995104074478149,0.18014679849147797,1.0,0.99657142162323,0.17346307635307312,0.9992380738258362
22,0.9989392161369324,0.18062493205070496,1.0,0.99657142162323,0.171873539686203,0.9988571405410767
23,0.9994288086891174,0.17954552173614502,1.0,0.99657142162323,0.17224377393722534,0.9988571405410767
24,0.9994288086891174,0.17866164445877075,1.0,0.99657142162323,0.1709083765745163,0.9992380738258362
